objectid,stationcode,sampledate,sampletypecode,matrixname,fieldreplicate,labreplicate,fractionname,record_origin,origin_lastupdatedate,record_publish,total_n_mgl,total_n_mgl_rl,total_n_mgl_mdl,total_n_mgl_method,total_p_mgl,total_p_mgl_rl,total_p_mgl_mdl,total_p_mgl_method
1699,SMC00710,2009-06-03T07:00:00Z,Grab,samplewater,1,2,None,NA,NA,NA,NA,NA,NA,NA,0.026,0.05,0.016,reported
1700,SMC00827,2009-06-15T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.05,0.016,reported
1701,SMC00827,2009-06-15T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.05,0.016,reported
1702,SMC00873,2014-06-10T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.035830618893,0.00977,0.00085,reported
1703,SMC00911,2009-06-04T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.05,0.016,reported
1704,SMC00963,2014-07-09T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.039087947883,0.00977,0.00085,reported
1705,SMC01049,2014-07-09T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.114,0.002,0.00022,partial
1706,SMC01097,2016-05-06T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.018,0.01,0.00083,reported
1707,SMC01097,2017-05-18T19:45:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.05,0.04,reported
1708,SMC01097,2018-05-01T19:30:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.11,0.05,0.04,reported
1709,SMC01151,2009-06-17T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.05,0.016,reported
1710,SMC01151,2009-06-17T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.05,0.016,reported
1711,SMC01257,2011-06-29T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.114,0.0098,0.00085,reported
1712,SMC01384,2018-06-19T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,1.05,0.02,0.012,reported
1713,SMC01684,2009-06-03T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.095,0.05,0.016,reported
1714,SMC01684,2009-06-03T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.096,0.05,0.016,reported
1715,SMC01748,2009-06-03T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,2.968,0.05,0.016,reported
1716,SMC01860,2009-05-28T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,1.749,0.05,0.016,reported
1717,SMC01972,2010-06-08T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.25,0.1,0.05,partial
1718,SMC02127,2009-06-04T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.05,0.016,reported
1719,SMC02127,2009-06-04T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.016,0.05,0.016,reported
1720,SMC02366,2014-06-23T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.01,0.0022,partial
1721,SMC02366,2014-06-23T07:00:00Z,Grab,samplewater,1,2,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.01,0.0022,partial
1722,SMC02436,2009-05-28T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.84,0.05,0.016,reported
1723,SMC02452,2011-06-30T17:50:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,1.5,0.05,0.0056,partial
1724,SMC02494,2014-05-22T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.027361563518,0.00977,0.00085,reported
1725,SMC02563,2014-05-22T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.24755700326,0.00977,0.00085,reported
1726,SMC02656,2009-06-23T07:00:00Z,Grab,samplewater,1,2,None,NA,NA,NA,NA,NA,NA,NA,0.038,0.05,0.016,reported
1727,SMC02718,2014-06-30T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.1986970684,0.00977,0.00085,reported
1728,SMC02976,2014-07-25T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.01,0.0022,partial
1729,SMC02976,2014-07-25T07:00:00Z,Grab,samplewater,1,2,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.01,0.0022,partial
1730,SMC03268,2009-05-28T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,2.848,0.05,0.016,reported
1731,SMC03268,2009-05-28T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,2.657,0.05,0.016,reported
1732,SMC04047,2009-05-14T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.05,0.016,reported
1733,SMC04047,2009-05-14T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.05,0.016,reported
1734,SMC04175,2009-06-11T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.037,0.05,0.016,reported
1735,SMC04175,2009-06-11T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.045,0.05,0.016,reported
1736,SMC04239,2009-06-11T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.05,0.016,reported
1737,SMC04308,2009-06-17T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.059,0.05,0.016,reported
1738,SMC04308,2009-06-17T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.05,0.01,0.01,partial
1739,SMC04399,2009-06-11T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.364,0.05,0.016,reported
1740,SMC05524,2011-06-30T20:30:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.88,0.05,0.0056,partial
1741,SMC06496,2014-07-09T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.01,0.0022,partial
1742,SMC06496,2014-07-09T07:00:00Z,Grab,samplewater,1,2,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.01,0.0022,partial
